"","airs_monitor_id","agency_desc","pollutant_name","exceptional_event_id","event_description","event_type_code","event_type_description","event_begin_date","event_end_date","sample_value","sample_date_time","sample_units","concurrence_ind","concurrence_date","concurrence_comment","naaqs_description","naaqs_statistic","naaqs_basis","naaqs_level","date","state_county_fips","state","county"
"15","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.049,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 1-hour 1979","Annual Estimated Days > Standard","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)",0.12,2016-05-25,"09005","Connecticut","Litchfield County"
"16","09-003-1003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:53 AM","null","Ozone 8-Hour 1997","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.08,2016-05-25,"09003","Connecticut","Hartford County"
"17","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.049,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 8-Hour 1997","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.08,2016-05-25,"09005","Connecticut","Litchfield County"
"18","09-001-9003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:52 AM","null","Ozone 8-Hour 1997","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.08,2016-05-25,"09001","Connecticut","Fairfield County"
"19","09-003-1003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:53 AM","null","Ozone 8-Hour 2008","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.075,2016-05-25,"09003","Connecticut","Hartford County"
"20","09-001-9003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:52 AM","null","Ozone 8-Hour 2008","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.075,2016-05-25,"09001","Connecticut","Fairfield County"
"21","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.049,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 8-Hour 2008","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.075,2016-05-25,"09005","Connecticut","Litchfield County"
"22","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.049,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 8-hour 2015","Annual 4th Maximum","Daily maximum of 8-hour running average",0.07,2016-05-25,"09005","Connecticut","Litchfield County"
"23","09-003-1003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:53 AM","null","Ozone 8-hour 2015","Annual 4th Maximum","Daily maximum of 8-hour running average",0.07,2016-05-25,"09003","Connecticut","Hartford County"
"24","09-001-9003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25 1:00:00 AM","ppm","Y","2017/08/01 10:56:52 AM","null","Ozone 8-hour 2015","Annual 4th Maximum","Daily maximum of 8-hour running average",0.07,2016-05-25,"09001","Connecticut","Fairfield County"
